id,category,article,version,description,trigger_words,weight,download_url,url
sd15_0015,architecture,toilette_modern,,,,,https://drive.google.com/drive/folders/1m2vhdj9IVw5y98R88QixYLgwuRqtf1cN,
sd15_0016,architecture,interior_design_mim,,,,,https://drive.google.com/file/d/1N5b6w8OlO_UlFZmjrrtECIFP2nRdYgaP/view,
sd15_0017,architecture,interior_design_minimalism,v10,,archminimalist,,https://civitai.com/api/download/models/130059?type=Model&format=SafeTensor,https://civitai.com/models/119687/minimalist-interior
sd15_0018,architecture,interior_design_neoclassic_wood,v10,,neoclassic_wood_{kitchen/bedroom},,https://civitai.com/api/download/models/145254?type=Model&format=SafeTensor,https://civitai.com/models/132084
sd15_0019,architecture,interior_design_neoclassic,v10,,neoclassic {bedroom/living room},,https://civitai.com/api/download/models/104424?type=Model&format=SafeTensor,https://civitai.com/models/97680/neoclassic-interior
sd15_0020,architecture,interior_design_scandinavian,v10,,scandinavian_{living_room/bedroom/kitchen},,https://civitai.com/api/download/models/99385?type=Model&format=SafeTensor,https://civitai.com/models/93208/eliai-scandinavian-interior
sd15_0021,architecture,interior_design_indochine,v10,,indochine_{living_room/bedroom/kitchen},,https://civitai.com/api/download/models/104236?type=Model&format=SafeTensor,https://civitai.com/models/97517/eliai-indochine-interior
sd15_0022,architecture,bathroom_modern,v10,,"bathroom, toilet",,https://civitai.com/api/download/models/107951?type=Model&format=SafeTensor,https://civitai.com/models/100863/rfc-ai-toliet
sd15_0023,artist,guongbihua,v10,,,,https://civitai.com/api/download/models/120031?type=Model&format=SafeTensor,https://civitai.com/models/111268/niji-cgongbi
sd15_0024,artist,eduardo_rodriguezcalzado,v10,,,,https://civitai.com/api/download/models/106471?type=Model&format=SafeTensor,https://civitai.com/models/99489?modelVersionId=106471
sd15_0025,background,ancient_chinese_jiangnan,v11+,,Jiangnan/csal_landscape,,https://civitai.com/api/download/models/128766?type=Model&format=SafeTensor,https://civitai.com/models/118559?modelVersionId=128766
sd15_0026,background,ancient_chinese_jiangnan,v13+,,Jiangnan/CS_Jiangnan/Huangshan/canal town,,https://civitai.com/api/download/models/131890?type=Model&format=SafeTensor,https://civitai.com/models/118559?modelVersionId=131890
sd15_0027,background,ancient_chinese_indoors,v10,,ancient_chinese_indoors,,https://civitai.com/api/download/models/105142?type=Model&format=SafeTensor,https://civitai.com/models/98323?modelVersionId=105142
